,0
PEOE_VSA6,2.1985480893334057
Chi4n,1.978407847938135
PEOE_VSA8,1.5971679640560024
VSA_EState2,1.1909035427859695
Chi3n,1.1827090815977779
VSA_EState4,1.1423847115444083
EState_VSA5,0.9131154794812941
EState_VSA2,0.8183157723251552
qed,0.6754540512314658
SMR_VSA6,0.6562329565262337
BalabanJ,0.6220625450463539
PEOE_VSA11,0.6127017497737411
FpDensityMorgan1,0.4984579302086379
EState_VSA1,0.4291858891341728
MaxPartialCharge,0.4286714500891213
MinEStateIndex,0.38335711713867693
MinPartialCharge,0.3297884446763815
SlogP_VSA8,0.32806680958522744
EState_VSA4,0.25729057115990295
FpDensityMorgan3,0.2472653876926279
MaxEStateIndex,0.24091792739735413
PEOE_VSA10,0.20301139167500604
SMR_VSA9,0.12300983918304646
MaxAbsEStateIndex,0.11258135695779697
EState_VSA6,0.11121994658887385
SlogP_VSA4,0.10552703507274612
PEOE_VSA12,0.10453089987142128
VSA_EState5,0.08596005975022322
MinAbsEStateIndex,0.05160631117050267
NumAromaticHeterocycles,0.01869047671764325
SlogP_VSA11,0.017907085990779247
fr_Ar_N,0.0073848116246136054
fr_Ar_OH,0.006594828429151524
fr_amide,0.0005939977593339602
MinAbsPartialCharge,0.00025855307815562896
fr_phenol,0.0002550922414791914
fr_Nhpyrrole,1.8910573223379157e-05
